bathrooms,furnished,price,bedrooms,utilities,longitude,date,roommate,pets,address,latitude,neighbourhood
2,0,2200,2,0,-123.362346,2018-01-30 19:20,1,1,827 Fairfield Rd Victoria BC CA,48.420543,Fairfield
1,0,1145,1,0,-123.332803,2018-01-03 0:05,0,0,3159 Shelbourne St Victoria BC CA,48.447056,Oaklands
1,0,1495,1,0,-123.353239,2018-01-30 19:57,0,0,505-591 Trutch St Victoria BC CA,48.418461,Fairfield
1,0,1750,3,0,,2018-01-30 20:01,0,0,,,
1,0,1100,3,0,-123.718777,2018-01-30 21:22,0,0,1030 Government Street Duncan BC CA,48.786838,
1,0,1100,3,0,-123.718777,2018-01-30 21:23,1,0,1031 Government Street Duncan BC CA,48.786838,
1,0,1100,3,0,-123.718777,2018-01-30 21:30,1,0,1032 Government Street Duncan BC CA,48.786838,
1,0,1100,3,0,-123.718777,2018-01-30 21:32,1,0,1033 Government Street Duncan BC CA,48.786838,
1,0,1100,3,0,-123.718777,2018-01-30 21:41,0,0,1034 Government Street Duncan BC CA,48.786838,
1,1,700,1,0,-123.718777,2018-01-30 21:31,1,0,1035 Government Street Duncan BC CA,48.786838,
2.5,0,4300,6,0,-123.330552,2018-01-30 22:02,0,1,1725 Jefferson Ave Victoria BC CA,48.476927,
2.5,0,4200,6,0,-123.330552,2018-01-30 22:00,0,1,1726 Jefferson Ave Victoria BC CA,48.476927,
1,1,1400,1,0,-123.372021,2018-01-02 21:49,1,0,557 Simcoe St Victoria BC CA,48.414322,James Bay
1,0,1350,1,0,-123.345492,2018-01-30 23:45,1,0,Yates at Fernwood Victoria BC CA,48.424552,Fernwood
2,0,1600,3,0,,2018-01-31 0:52,1,0,,,
