price,bedrooms,bathrooms,pets,furnished,address,latitude,longitude,date,roommate,utilities
1400,2,1,0,0,803-823 Mann Ave Victoria BC CA,48.487532,-123.3915,2018-01-23 0:59,0,1
1500,2,1,1,0,Thomson Terrace Duncan BC CA,48.794663,-123.640918,2018-01-23 2:26,0,1
1150,0,0,0,0,Agnes Street at Raymond Street North Saanich BC CA,48.471892,-123.393556,2018-01-13 21:27,0,0
900,0,1,0,1,456 BC-1A Victoria BC,48.440927,-123.374161,2018-01-23 2:43,0,1
1100,0,1,0,0,Gorge Road East Victoria BC CA,48.442332,-123.377921,2018-01-23 2:45,0,1
1800,3,1,0,0,1288-1272 Centre Rd Victoria BC CA,48.431934,-123.345394,2018-01-23 3:36,0,1
1100,1,1,1,0,,,,2018-01-23 4:26,0,1
700,1,1,0,1,897 Admirals Rd Victoria BC CA,48.439302,-123.424079,2018-01-23 5:32,0,0
1700,2,1,0,0,Southbound Henderson at Kendal Oak Bay BC CA,48.45247,-123.315483,2018-01-08 19:32,0,1
2700,3,1,1,0,3423-3457 Henderson Rd Victoria BC CA,48.452989,-123.315269,2017-12-30 17:06,0,1
1395,1,1,0,0,728 YATES STREET Victoria BC CA,48.426453,-123.363136,2018-01-23 17:22,0,1
1350,1,1,0,0,2751 Shelbourne St Victoria BC CA,48.439507,-123.333223,2017-12-29 17:36,0,1
1950,1,1,0,0,"2358 Esplanade, Victoria BC CA",48.434682,-123.303349,2017-12-29 17:40,0,1
1795,2,1,0,0,7878 E Saanich Rd Saanichton BC CA,48.596339,-123.41754,2017-12-27 21:21,0,1
825,0,0,0,1,759 Yates St Victoria BC CA,48.425798,-123.362818,2018-01-23 21:00,0,1
3250,2,2,1,0,Arbutus Pl Victoria BC CA,48.458295,-123.278961,2018-01-23 21:33,0,1
925,1,1,0,0,1035 North Park Street Victoria BC CA,48.429441,-123.353686,2018-01-10 20:21,0,1
1600,2,1,0,0,,,,2018-01-23 23:04,0,1
1500,2,1,0,0,1521 san juan ave Victoria BC CA,48.486607,-123.336115,2018-01-23 23:29,0,1
1500,1,2,0,0,3985 Cobblehill BC CA,48.688354,-123.603062,2018-01-24 5:50,0,1
1300,2,2,0,0,2751 Raycroft Pl Victoria BC CA,48.452038,-123.507929,2018-01-24 6:32,0,1
750,0,0,0,1,,,,2018-01-24 8:29,0,1
1800,4,2,0,0,975 Falmouth victoria BC CA,48.461389,-123.365053,2018-01-25 4:26,0,0
4200,6,3,0,0,Larchwood Dr Victoria BC CA,48.471897,-123.325181,2018-01-25 4:52,0,0
1250,2,1,0,0,2300 Richmond Rd Victoria BC CA,48.432293,-123.329514,2018-01-25 4:48,0,1
1150,1,0,0,0,3849-3855 Cadboro Bay Rd Victoria BC CA,48.461579,-123.29596,2018-01-25 16:51,0,1
2000,3,1,0,0,3716-3710 Saanich Rd Victoria BC CA,48.458083,-123.368971,2018-01-25 17:37,0,1
3000,2,1,1,0,Leigh Place Langford BC CA,48.444654,-123.523398,2017-12-28 22:14,0,1
1250,0,1,0,0,michigan at douglas victoria BC CA,48.417415,-123.365807,2018-01-25 21:28,0,1
1875,2,1.5,0,0,425 Simcoe Victoria BC CA,48.415597,-123.375414,2017-12-29 19:10,0,1
1000,1,1,0,0,"1229 Pandora Ave Victoria, BC CA",48.426805,-123.348725,2018-01-25 22:16,0,1
2200,4,2,1,0,Agnes at Broadway Victoria BC CA,48.471528,-123.396252,2018-01-26 3:56,0,1
1900,3,1,0,0,3842 Carey Road Victoria BC CA,48.460913,-123.383053,2018-01-26 5:51,0,1
1400,2,1,0,0,"3662 Ophir Street, Victoria, BC, Canada",48.459554,-123.336168,2018-01-26 7:01,0,1
,,,,0,,,,2017-12-30 15:21,,1
2095,3,1,0,0,,,,2018-01-20 15:43,0,1
1600,0,0,0,0,Haida Dr. at Cairndale Victoria BC CA,48.422469,-123.505256,2018-01-25 3:40,0,1
4800,4,2,0,0,419-431 Luxton Ave Victoria BC CA,48.413916,-123.378671,2018-01-27 2:23,0,1
2300,3,1.5,1,0,4319 Tyndall Ave Victoria BC CA,48.481583,-123.322273,2018-01-27 11:33,0,1
2500,1,1,0,0,Waddington Alley at Johnson St Victoria BC CA,48.427764,-123.369419,2018-01-14 18:21,0,1
3250,5,6,0,0,Gabriola Island Gabriola BC CA,49.160772,-123.742876,2018-01-27 19:19,0,0
1790,1,1,0,0,499-521 Fort St Victoria BC CA,48.425062,-123.369309,2018-01-12 0:29,0,1
2800,4,3.5,1,0,culduthel road at douglas victoria BC CA,48.453998,-123.376251,2018-01-27 21:59,0,0
1300,1,1,0,0,,,,2017-12-29 7:12,0,1
2850,2,2,0,0,summerbreeze lane Langford BC CA,48.413711,-123.538597,2018-01-28 2:38,0,1
2000,2,2,0,0,3790 Saanich Rd Victoria BC CA,48.460471,-123.368964,2018-01-17 1:24,0,1
2795,3,3,1,0,6747-6815 Jedora Dr Brentwood Bay BC CA,48.565498,-123.463221,2018-01-28 6:22,0,1
1587,2,1,0,0,1714 Newton Street Victoria BC CA,48.439633,-123.32984,2018-01-02 4:32,0,1
1450,2,1.5,0,0,,,,2018-01-14 5:34,0,1
1700,2,1,0,0,957 Colbourne Gdns Victoria BC CA,48.43627,-123.524371,2018-01-28 21:58,0,1
1750,3,1,0,0,,,,2018-01-29 0:36,0,1
777,0,0,0,0,,,,2018-01-29 3:02,0,1
600,1,0,0,1,Sandell Place at Edgelow Victoria BC CA,48.472359,-123.310791,2018-01-29 4:41,0,1
2500,3,2,1,0,4450 Torquay Victoria BC CA,48.4891,-123.323483,2018-01-24 2:20,0,1
1875,2,1,0,0,"1701 Cedar Hill Cross Road Victoria Saanich, Victoria BC CA",48.459698,-123.328566,2018-01-12 19:05,0,1
1650,1,1,0,0,"1701 Cedar Hill Cross Road Victoria Saanich, Victoria BC CA",48.459698,-123.328566,2018-01-26 20:12,0,1
1300,1,1,0,0,133 gorge rd east victoria BC CA,48.442874,-123.385254,2018-01-02 23:58,0,1
1900,3,1,1,0,3828-3804 Saul St Victoria BC CA,48.461454,-123.361487,2018-01-13 22:32,0,0
1550,1,1,0,0,Palo Alto St Victoria BC CA,48.462308,-123.328872,2018-01-14 0:57,0,1
1700,1,1,0,0,"1701 Cedar Hill Cross Road Victoria Saanich, Victoria BC CA",48.459698,-123.328566,2018-01-24 17:51,0,1
